EVENTID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   _1,TYPE  ,MAG 
778388,ke  ,ISC      ,11/8/1971,3:06:36 AM,27.0474,54.5438,13.4,,ISC      ,mb    ,5.6
778390,ke  ,ISC      ,11/8/1971,3:24:26 AM,26.8991,54.6711,18,TRUE,ISC      ,mb    ,4.9
778410,ke  ,ISC      ,11/9/1971,12:16:58 AM,26.9355,54.5081,18,TRUE,ISC      ,mb    ,4.8
778415,ke  ,ISC      ,11/9/1971,9:01:03 AM,27.0616,54.6547,18,TRUE,MOS      ,M     ,4.9
777603,ke  ,ISC      ,12/9/1971,1:42:33 AM,27.2961,56.4406,18,TRUE,ISC      ,mb    ,5.4
777605,ke  ,ISC      ,12/9/1971,2:31:04 AM,27.1412,56.3619,10,TRUE,         ,      ,
777606,ke  ,ISC      ,12/9/1971,2:36:12 AM,27.4363,56.279,18,TRUE,ISC      ,mb    ,4.6
777609,ke  ,ISC      ,12/9/1971,2:53:59 AM,27.3088,56.2178,18,TRUE,ISC      ,mb    ,4.7
777935,ke  ,ISC      ,12/20/1971,11:27:37 PM,28.1132,57.1551,10,TRUE,ISC      ,mb    ,5
775230,ke  ,ISC      ,3/8/1972,9:49:12 PM,27.7169,56.7096,35,TRUE,ISC      ,mb    ,4.7
774074,ke  ,ISC      ,4/3/1972,9:07:15 AM,28.1647,57.3396,22.5,,ISC      ,mb    ,5.1
774319,ke  ,ISC      ,4/10/1972,4:47:59 PM,26.992,54.6531,18,TRUE,         ,      ,
774399,ke  ,ISC      ,4/12/1972,11:07:49 PM,28.4573,53.0858,16,TRUE,ISC      ,mb    ,5
774644,ke  ,ISC      ,4/21/1972,6:59:02 PM,28.6059,52.6058,16,TRUE,         ,      ,
773105,ke  ,ISC      ,5/3/1972,11:58:07 AM,26.3424,54.3902,10,TRUE,         ,      ,
773116,ke  ,ISC      ,5/3/1972,9:52:50 PM,28.2639,57.5437,30,TRUE,         ,      ,
773578,ke  ,ISC      ,5/18/1972,2:42:54 AM,27.7536,55.8553,16,TRUE,ISC      ,mb    ,4.7
773866,ke  ,ISC      ,5/27/1972,8:37:55 AM,28.1994,55.8388,16,TRUE,MOS      ,mb    ,4.8
773031,ke  ,ISC      ,6/30/1972,5:49:36 PM,27.1947,56.91,41.3,,ISC      ,mb    ,4.6
770162,ke  ,ISC      ,8/2/1972,9:33:08 PM,28.2359,57.028,35,TRUE,ISC      ,mb    ,4.6
770166,ke  ,ISC      ,8/2/1972,11:03:29 PM,28.1277,56.9312,24,TRUE,ISC      ,mb    ,5
770167,ke  ,ISC      ,8/2/1972,11:12:15 PM,27.9996,56.6863,24,TRUE,ISC      ,mb    ,4.7
770207,ke  ,ISC      ,8/3/1972,10:47:43 PM,28.1119,56.8252,24,TRUE,ISC      ,mb    ,4.9
770223,ke  ,ISC      ,8/4/1972,9:19:29 AM,28.5811,56.7471,35,TRUE,MOS      ,MB    ,4.8
768192,ke  ,ISC      ,10/9/1972,1:58:06 AM,29.9359,57.82,15,TRUE,ISC      ,mb    ,4.8
768199,ke  ,ISC      ,10/9/1972,7:18:25 AM,28.2483,55.902,24.1,,ISC      ,mb    ,5.2
766989,ke  ,ISC      ,11/4/1972,9:32:22 AM,28.3988,57.087,24,TRUE,ISC      ,mb    ,5.1
761925,ke  ,ISC      ,4/25/1973,8:35:36 AM,26.9359,55.4983,12,TRUE,ISC      ,mb    ,4.7
762020,ke  ,ISC      ,4/27/1973,4:09:17 PM,27.8313,60.1724,10,TRUE,QUE      ,mb    ,4.8
760233,ke  ,ISC      ,5/6/1973,3:59:19 AM,27.2382,55.5474,12,TRUE,ISC      ,mb    ,4.9
760796,ke  ,ISC      ,5/24/1973,11:14:33 PM,28.1432,57.7978,10,TRUE,ISC      ,mb    ,4.3
761017,ke  ,ISC      ,5/31/1973,7:50:41 PM,28.1747,56.1908,53.1,,ISC      ,mb    ,4.7
759237,ke  ,ISC      ,6/10/1973,8:12:43 PM,27.7727,56.1789,15,TRUE,ISC      ,mb    ,4.2
757586,ke  ,ISC      ,8/25/1973,2:58:09 PM,28.2182,56.8784,24,TRUE,ISC      ,mb    ,5.5
757589,ke  ,ISC      ,8/25/1973,4:31:53 PM,27.9758,57.1005,28,TRUE,ISC      ,mb    ,4
756006,ke  ,ISC      ,9/1/1973,4:11:18 PM,27.9386,55.4094,22,TRUE,         ,      ,
756781,ke  ,ISC      ,9/28/1973,11:44:21 AM,27.3904,54.731,20,TRUE,         ,      ,
754295,ke  ,ISC      ,11/9/1973,6:50:49 PM,27.7448,55.5156,15,TRUE,ISC      ,mb    ,4.7
753474,ke  ,ISC      ,12/10/1973,9:06:51 PM,27.7493,57.0204,29.7,,ISC      ,mb    ,4.5
753699,ke  ,ISC      ,12/19/1973,6:26:11 PM,28.1778,54.8551,26,TRUE,ISC      ,mb    ,4.6
752480,ke  ,ISC      ,1/9/1974,9:10:37 PM,29.6849,57.5254,10,TRUE,ISC      ,mb    ,4.2
752838,ke  ,ISC      ,1/21/1974,5:32:27 AM,28.0845,57.6245,30,TRUE,NEIS     ,mb    ,3.6
752972,ke  ,ISC      ,1/24/1974,10:05:05 PM,26.6776,54.3046,10,TRUE,         ,      ,
749686,ke  ,ISC      ,4/23/1974,7:27:34 PM,26.9129,54.6154,18,TRUE,ISC      ,mb    ,4.5
